Ep: 10 | Steps: 727 | AvgSPE: 72.7 |Epsilon: 0.9851 | Skor: 1.0 / -1.0
Ep: 20 | Steps: 1615 | AvgSPE: 80.8 |Epsilon: 0.9704 | Skor: 1.0 / -1.0
Ep: 30 | Steps: 2360 | AvgSPE: 78.7 |Epsilon: 0.9560 | Skor: 1.0 / -1.0
Ep: 40 | Steps: 3044 | AvgSPE: 76.1 |Epsilon: 0.9417 | Skor: -1.0 / 1.0
Ep: 50 | Steps: 3845 | AvgSPE: 76.9 |Epsilon: 0.9277 | Skor: -1.0 / 1.0
Ep: 60 | Steps: 4624 | AvgSPE: 77.1 |Epsilon: 0.9139 | Skor: 1.0 / -1.0
Ep: 70 | Steps: 5293 | AvgSPE: 75.6 |Epsilon: 0.9003 | Skor: 1.0 / -1.0
Ep: 80 | Steps: 6014 | AvgSPE: 75.2 |Epsilon: 0.8868 | Skor: 1.0 / -1.0
Ep: 90 | Steps: 6726 | AvgSPE: 74.7 |Epsilon: 0.8736 | Skor: -1.0 / 1.0
Ep: 100 | Steps: 7410 | AvgSPE: 74.1 |Epsilon: 0.8606 | Skor: 1.0 / -1.0
Ep: 110 | Steps: 8243 | AvgSPE: 74.9 |Epsilon: 0.8478 | Skor: 1.0 / -1.0
Ep: 120 | Steps: 9007 | AvgSPE: 75.1 |Epsilon: 0.8352 | Skor: 1.1 / -1.0
Ep: 130 | Steps: 9784 | AvgSPE: 75.3 |Epsilon: 0.8227 | Skor: 1.0 / -1.0
Ep: 140 | Steps: 10444 | AvgSPE: 74.6 |Epsilon: 0.8105 | Skor: 1.0 / -1.0
Ep: 150 | Steps: 11175 | AvgSPE: 74.5 |Epsilon: 0.7984 | Skor: -1.0 / 1.0
Ep: 160 | Steps: 11807 | AvgSPE: 73.8 |Epsilon: 0.7865 | Skor: -1.0 / 1.0
Ep: 170 | Steps: 12518 | AvgSPE: 73.6 |Epsilon: 0.7748 | Skor: -1.0 / 1.0
